Source,RA,DEC,Plx,Gmag,BPmag,RPmag
612157157509901568,135.18591666666666,18.162666666666667,5.4679,16.7773,18.579599,15.4685
686303136445560192,135.20408333333333,22.81561111111111,6.5297,16.9419,18.565201,15.6826
612044384552897664,135.23779166666665,17.888083333333334,5.6699,20.1692,21.8743,18.693199
686468819103890688,135.242625,23.34336111111111,4.9571,14.7405,15.6927,13.7822
691778219019562624,135.24741666666665,26.517,5.1226,19.6301,20.937401,18.1502
691368719657948672,135.27458333333334,25.402416666666664,4.9951,19.4016,20.717699,18.0161
684584084375568384,135.35420833333336,19.898555555555554,6.5024,12.4785,13.0964,11.7515
692244175727606016,135.35920833333333,27.344416666666664,5.9891,18.5726,20.4615,17.113001
610729166782579712,135.38337500000003,16.596277777777775,4.8275,15.8447,17.2159,14.6825
686462045939828736,135.44025000000002,23.35275,6.1415,18.1921,20.251699,16.8615
636437015655529472,135.44162500000002,19.102111111111114,4.7169,20.8438,21.641199,19.2202
611206732785604480,135.46725,17.18852777777778,4.8171,20.651,21.6679,18.961399
692164839091853440,135.5,26.806222222222225,5.844,17.4839,19.0109,16.234301
691568457113269248,135.51125,26.249305555555555,5.3668,16.9375,18.5277,15.6937
686280905694894592,135.54695833333335,22.6005,5.0918,18.9206,21.108601,17.437599
685015883206715392,135.58016666666668,21.337444444444444,5.3758,20.6546,21.5849,19.2899
686401710239128960,135.59216666666666,23.093444444444444,4.7993,19.5768,21.403799,18.2101
607163377558934400,135.61479166666666,14.2185,5.9465,18.6336,20.604,17.2742
611194290265649024,135.62095833333333,17.183805555555555,5.2154,17.9507,19.631001,16.6325
686411300901107584,135.65508333333332,23.260083333333334,5.3938,20.8061,21.657101,19.311501
611189243679293056,135.664875,17.047111111111114,5.4809,18.0058,19.5044,16.6882
636535048284271360,135.72995833333334,19.778333333333332,6.354,15.9299,17.385401,14.7393
610412503138343936,135.73608333333334,15.658083333333334,5.6743,20.9175,21.8892,19.556601
692147521783756800,135.74220833333334,26.665999999999997,5.8335,17.2443,18.758801,16.014099
611216314857494656,135.78975,17.362166666666667,5.2794,19.4636,21.0312,17.9743
607276322314013440,135.8381666666667,14.936416666666666,5.4041,17.4289,19.0417,16.1607
610439857785460992,135.84183333333334,15.831999999999999,6.3138,16.7572,18.4116,15.4947
688329398935486464,135.862,25.097694444444443,4.9128,20.014,21.514601,18.4694
610890760632098944,135.88608333333335,16.31897222222222,4.8456,19.9657,21.203501,18.542
688019542815824512,135.90954166666668,23.999083333333335,6.1164,16.658,18.212,15.4463
607377404369177472,135.93033333333335,15.153055555555556,6.229,16.7536,18.158001,15.5722
611137699776353280,136.01324999999997,16.93175,6.4203,19.8942,21.2822,18.3964
686440433664452224,136.051,23.462055555555555,5.3687,19.3459,20.8146,17.874399
607359674744060288,136.06208333333333,15.002055555555556,4.9834,15.6591,16.919901,14.5441
604540080253777280,136.14933333333332,12.41686111111111,5.1494,20.2415,20.241199,19.7738
610928865581927552,136.1755,16.61863888888889,4.9493,16.8686,18.292299,15.6746
610888389810133760,136.20908333333333,16.445805555555555,5.5413,15.9352,17.3458,14.7579
686427381259483136,136.22179166666666,23.333583333333333,5.7361,16.4165,17.9193,15.2189
604379143534860928,136.24879166666668,12.128222222222222,5.8941,17.3629,18.869699,16.1439
687929584725434368,136.27929166666667,23.443472222222223,5.4354,20.1068,21.5769,18.680401
606997660541032704,136.31183333333334,14.321055555555555,6.1622,19.7331,21.8179,18.2616
